/Users/gaurav_raj/ai-projects/s3-karo/app/api/files/space/route.ts: line 20, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/fix-database/route.ts: line 13, col 28, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/fix-database/route.ts: line 40, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/fix-database/route.ts: line 54, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/fix-database/route.ts: line 72, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/health/route.ts: line 6, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/migrate/route.ts: line 18, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/s3/presigned-url/route.ts: line 75, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/storage/stats/route.ts: line 15, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/storage/stats/route.ts: line 24, col 35, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/storage/stats/route.ts: line 77, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/check/route.ts: line 9, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
